ID,Age,Year_Birth,Education,Marital_Status,Income,TotalChildren,Dt_Customer,Recency,TotalSpent,TotalAcceptedCmp,Response,Complain,Country,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1826,55,1970,Graduation,Divorced,84835.0,0,2014-06-16,0,1190,0,1,0,SP,189,104,379,111,189,218,0,0,0,0,0,1,4,4,6,1
1,64,1961,Graduation,Single,57091.0,0,2014-06-15,0,577,1,1,0,CA,464,5,64,7,0,37,0,1,0,0,0,1,7,3,7,5
10476,67,1958,Graduation,Married,67267.0,1,2014-05-13,0,251,0,0,0,US,134,11,59,15,2,30,0,0,0,0,0,1,3,2,5,2
1386,58,1967,Graduation,Together,32474.0,2,2014-05-11,0,11,0,0,0,AUS,10,0,1,0,0,0,0,0,0,0,0,1,1,0,2,7
5371,36,1989,Graduation,Single,21474.0,1,2014-04-08,0,91,1,1,0,SP,6,16,24,11,0,34,0,0,1,0,0,2,3,1,2,7
7348,67,1958,PhD,Single,71691.0,0,2014-03-17,0,1192,0,1,0,SP,336,130,411,240,32,43,0,0,0,0,0,1,4,7,5,2
4073,71,1954,2n Cycle,Married,63564.0,0,2014-01-29,0,1215,1,1,0,GER,769,80,252,15,34,65,0,0,1,0,0,1,10,10,7,6
1991,58,1967,Graduation,Together,44931.0,1,2014-01-18,0,96,0,0,0,SP,78,0,11,0,0,7,0,0,0,0,0,1,2,1,3,5
4047,71,1954,PhD,Married,65324.0,1,2014-01-11,0,544,0,0,0,US,384,0,102,21,32,5,0,0,0,0,0,3,6,2,9,4
9477,71,1954,PhD,Married,65324.0,1,2014-01-11,0,544,0,0,0,IND,384,0,102,21,32,5,0,0,0,0,0,3,6,2,9,4
2079,78,1947,2n Cycle,Married,81044.0,0,2013-12-27,0,1208,0,0,0,US,450,26,535,73,98,26,0,0,0,0,0,1,5,6,10,1
5642,46,1979,Master,Together,62499.0,1,2013-12-09,0,222,0,0,0,SP,140,4,61,0,13,4,0,0,0,0,0,2,3,1,6,4
10530,66,1959,PhD,Widow,67786.0,0,2013-12-07,0,1156,0,1,0,IND,431,82,441,80,20,102,0,0,0,0,0,1,3,6,6,1
2964,44,1981,Graduation,Married,26872.0,0,2013-10-16,0,72,0,0,0,CA,3,10,8,3,16,32,0,0,0,0,0,1,1,1,2,6
10311,56,1969,Graduation,Married,4428.0,1,2013-10-05,0,359,0,0,0,SP,16,4,12,2,4,321,0,0,0,0,0,0,25,0,0,1
837,48,1977,Graduation,Married,54809.0,2,2013-09-11,0,174,0,0,0,SP,63,6,57,13,13,22,0,0,0,0,0,4,2,1,5,4
10521,48,1977,Graduation,Married,54809.0,2,2013-09-11,0,174,0,1,0,SP,63,6,57,13,13,22,0,0,0,0,0,4,2,1,5,4
10175,67,1958,PhD,Divorced,32173.0,1,2013-08-01,0,22,0,0,0,SP,18,0,2,0,0,2,0,0,0,0,0,1,1,0,3,4
1473,65,1960,2n Cycle,Single,47823.0,1,2013-07-23,0,72,0,0,0,CA,53,1,5,2,1,10,0,0,0,0,0,2,2,0,3,8
2795,67,1958,Master,Single,30523.0,3,2013-07-01,0,13,0,0,0,CA,5,0,3,0,0,5,0,0,0,0,0,1,1,0,2,7
2285,71,1954,Master,Together,36634.0,1,2013-05-28,0,335,0,0,0,SA,213,9,76,4,3,30,0,0,0,0,0,3,5,2,5,7
115,59,1966,Master,Single,43456.0,1,2013-03-26,0,393,0,0,0,IND,275,11,68,25,7,7,0,0,0,0,0,3,5,1,8,5
10470,46,1979,Master,Married,40662.0,1,2013-03-15,0,92,0,0,0,GER,40,2,23,0,4,23,0,0,0,0,0,2,2,1,3,4
4065,49,1976,PhD,Married,49544.0,1,2013-02-12,0,404,0,0,0,SP,308,0,73,0,0,23,0,0,0,0,0,2,5,1,8,7
10968,56,1969,Graduation,Single,57731.0,1,2012-11-23,0,704,0,0,0,IND,266,21,300,65,8,44,0,0,0,0,0,4,8,8,6,6
5985,60,1965,Master,Single,33168.0,1,2012-10-13,0,122,0,0,0,SP,80,1,37,0,1,3,0,0,0,0,0,3,2,1,4,7
5430,69,1956,Graduation,Together,54450.0,2,2012-09-14,0,684,0,0,0,SP,454,0,171,8,19,32,0,0,0,0,0,12,9,2,8,8
8432,69,1956,Graduation,Together,54450.0,2,2012-09-14,0,684,0,0,0,SP,454,0,171,8,19,32,0,0,0,0,0,12,9,2,8,8
453,69,1956,PhD,Widow,35340.0,2,2014-06-29,1,45,0,0,0,SP,27,0,12,0,1,5,0,0,0,0,0,2,2,0,3,5
9687,50,1975,Graduation,Single,73170.0,0,2014-05-31,1,726,0,0,0,CA,184,174,256,50,30,32,0,0,0,0,0,1,5,4,6,2
8890,54,1971,PhD,Divorced,65808.0,2,2014-05-30,1,272,0,0,0,SP,155,7,80,13,7,10,0,0,0,0,0,3,5,1,5,6
9264,39,1986,Graduation,Married,79529.0,0,2014-04-27,1,1638,0,0,0,CA,423,42,706,73,197,197,0,0,0,0,0,1,4,8,9,2
5824,53,1972,PhD,Together,34578.0,3,2014-04-11,1,8,0,0,0,AUS,7,0,1,0,0,0,0,0,0,0,0,1,1,0,2,6
5794,51,1974,PhD,Married,46374.0,1,2014-03-17,1,446,2,1,0,IND,408,0,21,0,0,17,1,0,0,1,0,3,7,1,7,8
3068,35,1990,Graduation,Married,18351.0,0,2013-10-29,1,43,0,0,0,SP,1,12,9,0,14,7,0,0,0,0,0,1,2,0,3,7
7962,38,1987,PhD,Single,95169.0,0,2013-10-09,1,1901,2,1,0,SP,1285,21,449,106,20,20,1,0,0,0,1,1,4,3,4,1
2681,41,1984,2n Cycle,Married,65370.0,0,2013-08-01,1,461,0,0,0,SP,71,22,112,138,89,29,0,0,0,0,0,1,2,3,13,1
10141,65,1960,Master,Divorced,39228.0,0,2013-05-10,1,20,0,0,0,SA,7,1,6,0,3,3,0,0,0,0,0,1,0,0,3,4
3725,64,1961,PhD,Single,84865.0,0,2013-05-09,1,1688,4,1,0,SP,1248,16,349,43,16,16,1,1,0,1,1,1,2,4,9,4
3767,57,1968,Graduation,Married,61314.0,1,2013-04-25,1,1008,0,0,0,SP,378,0,189,97,172,172,0,0,0,0,0,2,5,5,12,3
5585,53,1972,Graduation,Single,21359.0,1,2013-04-20,1,48,0,1,0,CA,12,2,17,6,1,10,0,0,0,0,0,2,2,0,3,8
7030,70,1955,PhD,Married,66465.0,1,2013-03-30,1,1485,1,0,0,SP,1200,0,204,38,29,14,1,0,0,0,0,3,11,9,12,6
1524,42,1983,2n Cycle,Single,81698.0,0,2013-03-01,1,1104,1,1,0,SP,709,45,115,30,160,45,1,0,0,0,0,1,8,2,5,5
3657,39,1986,Graduation,Single,39146.0,1,2013-02-14,1,165,0,0,0,SP,94,1,33,13,12,12,0,0,0,0,0,3,4,0,4,8
5740,55,1970,2n Cycle,Divorced,25959.0,2,2013-02-14,1,56,0,1,0,SP,4,2,12,7,5,26,0,0,0,0,0,2,1,2,2,6
9595,64,1961,Graduation,Together,64260.0,0,2013-01-11,1,1574,0,1,0,SP,539,169,816,20,0,30,0,0,0,0,0,1,4,5,4,3
3158,52,1973,Graduation,Married,32300.0,1,2013-01-03,1,39,0,0,0,SP,13,3,6,6,5,6,0,0,0,0,0,1,1,0,3,8
5114,60,1965,Master,Married,74806.0,1,2012-12-19,1,965,0,0,0,AUS,670,9,249,0,28,9,0,0,0,0,0,2,5,4,5,4
340,55,1970,Graduation,Divorced,72967.0,1,2012-12-15,1,497,1,1,0,GER,158,35,179,0,0,125,0,0,1,0,0,2,7,2,8,5
8805,65,1960,Graduation,Single,48904.0,1,2012-12-02,1,371,0,0,0,US,283,10,38,0,13,27,0,0,0,0,0,4,7,2,4,8
1241,41,1984,2n Cycle,Married,14796.0,1,2012-09-17,1,51,0,1,0,GER,13,3,8,7,4,16,0,0,0,0,0,2,1,0,3,9
1402,71,1954,Master,Married,66991.0,0,2012-09-11,1,1253,0,0,0,GER,496,36,460,189,60,12,0,0,0,0,0,3,4,8,6,3
7264,47,1978,2n Cycle,Single,52195.0,3,2014-05-12,2,17,0,0,0,SA,12,0,4,0,0,1,0,0,0,0,0,1,1,0,2,8
1619,69,1956,Graduation,Married,90369.0,0,2014-04-28,2,1588,0,1,0,SP,292,51,981,224,23,17,0,0,0,0,0,1,4,6,6,1
6398,51,1974,Basic,Married,18393.0,1,2014-03-29,2,50,0,0,0,SP,7,10,13,16,0,4,0,0,0,0,0,2,3,0,3,8
1857,73,1952,Graduation,Single,47139.0,2,2014-03-06,2,83,0,1,0,SP,46,0,12,0,2,23,0,0,0,0,0,2,2,1,2,7
4877,52,1973,Master,Married,38576.0,1,2014-03-04,2,41,0,0,0,IND,34,0,7,0,0,0,0,0,0,0,0,1,1,0,3,7
3066,50,1975,PhD,Together,61905.0,1,2014-02-04,2,231,0,0,0,SA,167,0,43,6,2,13,0,0,0,0,0,2,4,2,4,5
10286,63,1962,Graduation,Married,83715.0,0,2014-02-03,2,926,0,0,0,SA,318,8,407,150,35,8,0,0,0,0,0,1,2,8,13,0
1992,61,1964,Graduation,Married,60597.0,1,2014-01-01,2,893,1,1,0,SP,522,0,257,32,16,66,1,0,0,0,0,4,2,2,8,7
4246,43,1982,Master,Single,6560.0,0,2013-12-12,2,373,0,0,0,SP,67,11,26,4,3,262,0,0,0,0,0,0,1,0,1,17
10623,64,1961,Master,Together,48330.0,1,2013-11-15,2,32,0,0,0,SP,28,0,4,0,0,0,0,0,0,0,0,1,1,0,3,5
4867,57,1968,PhD,Single,38236.0,2,2013-09-20,2,88,0,0,0,SP,58,0,18,2,0,10,0,0,0,0,0,4,3,0,4,7
3112,48,1977,Master,Married,22701.0,1,2013-09-05,2,24,0,0,0,SP,2,4,9,0,4,5,0,0,0,0,0,1,1,0,3,5
4865,51,1974,Master,Divorced,53367.0,2,2013-08-31,2,400,0,1,0,AUS,229,7,140,10,3,11,0,0,0,0,0,7,5,1,8,7
6287,39,1986,Graduation,Together,34728.0,1,2013-07-30,2,36,0,1,0,SP,14,0,16,0,0,6,0,0,0,0,0,1,1,1,2,6
4405,69,1956,Master,Married,63915.0,2,2013-07-30,2,789,0,0,0,AUS,622,7,115,30,0,15,0,0,0,0,0,2,6,3,12,5
5332,65,1960,2n Cycle,Married,82504.0,0,2013-07-27,2,1066,0,0,0,IND,362,50,431,134,35,54,0,0,0,0,0,1,3,6,7,1
1519,53,1972,PhD,Single,38578.0,2,2013-06-22,2,73,0,1,0,SP,38,4,22,3,3,3,0,0,0,0,0,3,3,0,3,8
9080,53,1972,PhD,Single,38578.0,2,2013-06-22,2,73,0,0,0,SP,38,4,22,3,3,3,0,0,0,0,0,3,3,0,3,8
1772,50,1975,PhD,Married,79174.0,0,2013-01-11,2,2043,2,1,0,CA,1074,37,518,193,92,129,1,0,0,0,1,1,5,6,7,2
5341,63,1962,2n Cycle,Divorced,81975.0,1,2013-01-05,2,1588,1,0,0,SA,983,76,184,180,138,27,0,0,0,0,1,1,6,3,4,7
5510,48,1977,Master,Married,43263.0,1,2012-11-21,2,441,0,0,0,SP,262,6,61,0,10,102,0,0,0,0,0,3,5,2,6,5
3887,55,1970,Graduation,Single,27242.0,1,2012-11-11,2,106,0,1,0,IND,3,17,26,20,1,39,0,0,0,0,0,2,2,0,3,9
7022,54,1971,Graduation,Married,76445.0,1,2012-09-28,2,1410,0,0,0,SA,739,107,309,140,80,35,0,0,0,0,0,1,2,5,13,6
9999,60,1965,Graduation,Together,75276.0,0,2012-09-27,2,1040,0,0,0,SP,610,105,125,137,42,21,0,0,0,0,0,1,9,4,9,5
10352,62,1963,Graduation,Widow,34213.0,2,2012-09-07,2,117,0,1,0,SA,50,4,28,6,3,26,0,0,0,0,0,3,3,1,2,9
7919,49,1976,PhD,Together,72335.0,0,2012-08-13,2,2092,0,1,0,SP,1285,105,653,28,21,0,0,0,0,0,0,1,10,4,8,8
4114,61,1964,Master,Married,79143.0,0,2012-08-11,2,1693,0,0,0,AUS,650,37,780,27,167,32,0,0,0,0,0,1,6,9,13,3
7990,78,1947,Graduation,Married,27469.0,0,2012-08-02,2,17,0,0,0,CA,9,1,2,3,2,0,0,0,0,0,0,1,0,0,3,6
9888,56,1969,Graduation,Together,68695.0,0,2014-06-25,3,1091,0,0,0,SP,458,81,356,106,50,40,0,0,0,0,0,1,4,4,7,2
4399,56,1969,Graduation,Together,68695.0,0,2014-06-25,3,1091,0,0,0,CA,458,81,356,106,50,40,0,0,0,0,0,1,4,4,7,2
4452,68,1957,Graduation,Single,50388.0,1,2014-05-28,3,372,2,1,0,GER,292,6,37,0,3,34,1,0,0,1,0,4,6,1,6,7
4785,55,1970,PhD,Together,77622.0,2,2014-04-14,3,714,0,0,0,SA,520,7,154,19,0,14,0,0,0,0,0,2,6,3,11,3
8461,63,1962,Graduation,Divorced,46102.0,3,2014-03-10,3,16,0,0,0,SP,14,0,1,0,0,1,0,0,0,0,0,1,1,0,2,7
3878,45,1980,2n Cycle,Single,31859.0,1,2014-02-27,3,48,0,0,0,SP,3,4,7,15,8,11,0,0,0,0,0,1,1,0,3,7
9612,38,1987,2n Cycle,Single,23830.0,0,2014-02-07,3,43,0,0,0,SP,1,8,6,4,8,16,0,0,0,0,0,1,1,0,3,7
4098,52,1973,Graduation,Married,24639.0,2,2014-01-28,3,44,0,0,0,AUS,20,3,16,0,4,1,0,0,0,0,0,3,2,0,4,6
158,80,1945,PhD,Together,71604.0,0,2013-11-17,3,1196,1,1,0,SP,345,53,528,98,75,97,0,0,1,0,0,1,8,3,5,4
